8=FIX4.4, 35=D, 34=52, 49=M3, 56=MS, 52=2022-09-20-19:04:43, 55=AAPL, 40=2, 38=10969, 21=2, 11=algo20220920190443, 60=2022-09-20-19:04:43, 54=2, 44=1276.37, 10=0252,
8=FIX4.4, 35=D, 34=52, 49=M3, 56=MS, 52=2022-09-20-19:04:43, 55=AAPL, 40=2, 38=10969, 21=2, 11=algo20220920190443, 60=2022-09-20-19:04:43, 54=2, 44=1276.37, 10=0252,
8=FIX4.4, 35=D, 34=54, 49=M3, 56=MS, 52=2022-09-20-19:04:45, 55=MSFT, 40=2, 38=25104, 21=2, 11=algo20220920190445, 60=2022-09-20-19:04:45, 54=1, 44=59.89, 10=0252,
8=FIX4.4, 35=D, 34=55, 49=M3, 56=MS, 52=2022-09-20-19:04:48, 55=AMZN, 40=2, 38=7649, 21=2, 11=algo20220920190448, 60=2022-09-20-19:04:48, 54=2, 44=133.47, 10=0252,
8=FIX4.4, 35=D, 34=57, 49=M3, 56=MS, 52=2022-09-20-19:04:50, 55=FB, 40=2, 38=17189, 21=2, 11=algo20220920190450, 60=2022-09-20-19:04:50, 54=1, 44=430.62, 10=0252,
8=FIX4.4, 35=D, 34=59, 49=M3, 56=MS, 52=2022-09-20-19:04:52, 55=GOOG, 40=2, 38=10174, 21=2, 11=algo20220920190452, 60=2022-09-20-19:04:52, 54=2, 44=42.05, 10=0252,
8=FIX4.4, 35=D, 34=59, 49=M3, 56=MS, 52=2022-09-20-19:04:52, 55=GOOG, 40=2, 38=10174, 21=2, 11=algo20220920190452, 60=2022-09-20-19:04:52, 54=2, 44=42.05, 10=0252,
8=FIX4.4, 35=D, 34=61, 49=M3, 56=MS, 52=2022-09-20-19:04:55, 55=GOOGL, 40=2, 38=29096, 21=2, 11=algo20220920190455, 60=2022-09-20-19:04:55, 54=1, 44=289.20, 10=0252,
8=FIX4.4, 35=D, 34=63, 49=M3, 56=MS, 52=2022-09-20-19:04:58, 55=INTC, 40=2, 38=10345, 21=2, 11=algo20220920190458, 60=2022-09-20-19:04:58, 54=1, 44=339.13, 10=0252,
8=FIX4.4, 35=D, 34=65, 49=M3, 56=MS, 52=2022-09-20-19:05:00, 55=PEP, 40=2, 38=10240, 21=2, 11=algo20220920190500, 60=2022-09-20-19:05:00, 54=2, 44=36.21, 10=0252,
8=FIX4.4, 35=D, 34=67, 49=M3, 56=MS, 52=2022-09-20-19:05:02, 55=NFLX, 40=2, 38=1983, 21=2, 11=algo20220920190502, 60=2022-09-20-19:05:02, 54=2, 44=306.71, 10=0252,
8=FIX4.4, 35=D, 34=69, 49=M3, 56=MS, 52=2022-09-20-19:05:04, 55=CSCO, 40=2, 38=26073, 21=2, 11=algo20220920190504, 60=2022-09-20-19:05:04, 54=1, 44=233.73, 10=0252,
8=FIX4.4, 35=D, 34=71, 49=M3, 56=MS, 52=2022-09-20-19:05:07, 55=AMGN, 40=2, 38=26328, 21=2, 11=algo20220920190507, 60=2022-09-20-19:05:07, 54=2, 44=116.62, 10=0252,
8=FIX4.4, 35=D, 34=73, 49=M3, 56=MS, 52=2022-09-20-19:05:09, 55=PYPL, 40=2, 38=18635, 21=2, 11=algo20220920190509, 60=2022-09-20-19:05:09, 54=1, 44=723.61, 10=0252,
8=FIX4.4, 35=D, 34=75, 49=M3, 56=MS, 52=2022-09-20-19:05:13, 55=TSLA, 40=2, 38=26274, 21=2, 11=algo20220920190513, 60=2022-09-20-19:05:13, 54=2, 44=503.77, 10=0252,
8=FIX4.4, 35=D, 34=77, 49=M3, 56=MS, 52=2022-09-20-19:05:15, 55=TXN, 40=2, 38=29695, 21=2, 11=algo20220920190515, 60=2022-09-20-19:05:15, 54=2, 44=112.46, 10=0252,
8=FIX4.4, 35=D, 34=78, 49=M3, 56=MS, 52=2022-09-20-19:05:19, 55=AVGO, 40=2, 38=7279, 21=2, 11=algo20220920190519, 60=2022-09-20-19:05:19, 54=1, 44=262.99, 10=0252,
8=FIX4.4, 35=D, 34=80, 49=M3, 56=MS, 52=2022-09-20-19:05:24, 55=GILD, 40=2, 38=26672, 21=2, 11=algo20220920190524, 60=2022-09-20-19:05:24, 54=1, 44=82.91, 10=0252,
8=FIX4.4, 35=D, 34=81, 49=M3, 56=MS, 52=2022-09-20-19:05:25, 55=SBUX, 40=2, 38=566, 21=2, 11=algo20220920190525, 60=2022-09-20-19:05:25, 54=2, 44=75.71, 10=0252,
8=FIX4.4, 35=D, 34=83, 49=M3, 56=MS, 52=2022-09-20-19:05:27, 55=QCOM, 40=2, 38=20089, 21=2, 11=algo20220920190527, 60=2022-09-20-19:05:27, 54=2, 44=75.47, 10=0252,
8=FIX4.4, 35=D, 34=85, 49=M3, 56=MS, 52=2022-09-20-19:05:32, 55=TMUS, 40=2, 38=30009, 21=2, 11=algo20220920190532, 60=2022-09-20-19:05:32, 54=2, 44=90.74, 10=0252,
8=FIX4.4, 35=D, 34=87, 49=M3, 56=MS, 52=2022-09-20-19:05:34, 55=MDLZ, 40=2, 38=27055, 21=2, 11=algo20220920190534, 60=2022-09-20-19:05:34, 54=1, 44=52.26, 10=0252,
8=FIX4.4, 35=D, 34=89, 49=M3, 56=MS, 52=2022-09-20-19:05:36, 55=BAC, 40=2, 38=2249, 21=2, 11=algo20220920190536, 60=2022-09-20-19:05:36, 54=1, 44=22.03, 10=0252,
8=FIX4.4, 35=D, 34=90, 49=M3, 56=MS, 52=2022-09-20-19:05:38, 55=DDD, 40=2, 38=17004, 21=2, 11=algo20220920190538, 60=2022-09-20-19:05:38, 54=2, 44=8.01, 10=0252,
8=FIX4.4, 35=D, 34=91, 49=M3, 56=MS, 52=2022-09-20-19:05:39, 55=MMM, 40=2, 38=23559, 21=2, 11=algo20220920190539, 60=2022-09-20-19:05:39, 54=1, 44=146.98, 10=0252,
8=FIX4.4, 35=D, 34=92, 49=M3, 56=MS, 52=2022-09-20-19:05:43, 55=WBAI, 40=2, 38=14329, 21=2, 11=algo20220920190543, 60=2022-09-20-19:05:43, 54=2, 44=4.10, 10=0252,
8=FIX4.4, 35=D, 34=94, 49=M3, 56=MS, 52=2022-09-20-19:05:46, 55=WUBA, 40=2, 38=27836, 21=2, 11=algo20220920190546, 60=2022-09-20-19:05:46, 54=2, 44=51.41, 10=0252,
8=FIX4.4, 35=D, 34=95, 49=M3, 56=MS, 52=2022-09-20-19:05:47, 55=EGHT, 40=2, 38=25027, 21=2, 11=algo20220920190547, 60=2022-09-20-19:05:47, 54=2, 44=17.03, 10=0252,
